data,canal,tema,resumo,resolvido
2025-09-15,chat,CDB,Cliente perguntou sobre rentabilidade e prazos,sim
2025-09-22,telefone,Problema no app,Erro ao visualizar extrato foi corrigido,sim
2025-10-01,chat,Tesouro Selic,Cliente pediu explicação sobre o funcionamento do Tesouro Direto,sim
2025-10-12,chat,Metas financeiras,Cliente acompanhou o progresso da reserva de emergência,sim
2025-10-25,email,Atualização cadastral,Cliente atualizou e-mail e telefone,sim
2025-10-15,chat,Cartão Internacional,Dúvida sobre taxas de IOF para viagem,sim
2025-10-22,chat,Criptoativos,Pediu explicação sobre ETF de Bitcoin,sim
2025-11-01,email,Seguro Viagem,Solicitou cotação para cobertura na América do Norte,sim
2025-11-05,chat,Reserva,Verificou quanto falta para a meta de intercâmbio,sim
2025-11-10,telefone,Aumento de limite,Solicitação aprovada para gastos na viagem,sim
